municipio_clean;ano;homicidio;furto;roubo;frv;Codmun7;codigo;municipio;regiao_administrativa;regiao_governo;populacao
ADAMANTINA;2001;   4;   268;    17;     2;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   33639,0
ADAMANTINA;2002;   1;   319;     4;     0;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   33793,0
ADAMANTINA;2003;   1;   277;     7;     4;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   33930,0
ADAMANTINA;2004;   4;   420;     5;     3;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   34218,0
ADAMANTINA;2005;   0;   376;    13;     6;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   34378,0
ADAMANTINA;2006;   1;   294;     7;    14;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   34536,0
ADAMANTINA;2007;   0;   327;    11;     8;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   34451,0
ADAMANTINA;2008;   1;   397;     5;     5;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   34366,0
ADAMANTINA;2009;   1;   286;    19;     2;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   34424,0
ADAMANTINA;2010;   1;   227;    11;     5;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   33797,0
ADAMANTINA;2011;   0;   245;    11;    10;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   33821,0
ADAMANTINA;2012;   0;   245;     6;    12;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   33843,0
ADAMANTINA;2013;   0;   272;    13;     7;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   34953,0
ADAMANTINA;2014;   1;   258;     5;     9;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   35001,0
ADAMANTINA;2015;   0;   245;     3;    19;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   35048,0
ADAMANTINA;2016;   1;   222;     4;    16;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   35094,0
ADAMANTINA;2017;   1;   206;     6;    11;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   35139,0
ADAMANTINA;2018;   2;   170;     6;    12;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   35023,0
ADAMANTINA;2019;   2;   151;     3;     3;3500105;350010;Adamantina;Presidente Prudente;Adamantina;   35068,0
ADOLFO;2001;   0;    19;     0;     1;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3728,0
ADOLFO;2002;   0;    29;     0;     2;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3771,0
ADOLFO;2003;   0;    29;     1;     0;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3811,0
ADOLFO;2004;   0;    14;     0;     0;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3895,0
ADOLFO;2005;   0;    45;     0;     1;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3942,0
ADOLFO;2006;   0;    52;     0;     1;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3989,0
ADOLFO;2007;   1;    38;     2;     1;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3850,0
ADOLFO;2008;   0;    54;     1;     1;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3711,0
ADOLFO;2009;   0;    64;     0;     1;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3710,0
ADOLFO;2010;   1;    42;     1;     2;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3557,0
ADOLFO;2011;   0;    28;     1;     2;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3548,0
ADOLFO;2012;   0;    38;     1;     1;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3538,0
ADOLFO;2013;   0;    44;     0;     3;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3639,0
ADOLFO;2014;   0;    37;     2;     1;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3631,0
ADOLFO;2015;   0;    43;     5;     0;3500204;350020;Adolfo;São José do Rio Preto;São José do Rio Preto;    3623,0
