municipio;ano;Homicidio;Furto;Roubo;FRV
CAMPINAS;2001;542;13662;10884;14120
CAMPINAS;2002;453;13381;8603;10376
CAMPINAS;2003;495;15618;9867;10907
CAMPINAS;2004;362;17369;9892;9853
CAMPINAS;2005;224;17292;9664;10161
CAMPINAS;2006;163;16658;9758;10622
CAMPINAS;2007;141;15905;9630;8682
CAMPINAS;2008;141;14922;8948;7528
CAMPINAS;2009;154;16978;10552;9106
CAMPINAS;2010;157;17555;8906;9290
CAMPINAS;2011;146;18797;8981;9170
CAMPINAS;2012;144;18793;8711;9965
CAMPINAS;2013;136;16465;7661;9263
CAMPINAS;2014;145;19620;8958;8058
CAMPINAS;2015;121;18101;8887;6817
CAMPINAS;2016;115;17440;9451;7350
CAMPINAS;2017;137;16980;9273;7489
CAMPINAS;2018;136;16282;7034;6950
CAMPINAS;2019;136;15473;6569;6039
CAMPO LIMPO PAULISTA;2001;13;527;161;162
CAMPO LIMPO PAULISTA;2002;18;505;138;146
CAMPO LIMPO PAULISTA;2003;12;715;177;171
CAMPO LIMPO PAULISTA;2004;20;825;139;137
CAMPO LIMPO PAULISTA;2005;5;748;196;175
CAMPO LIMPO PAULISTA;2006;12;826;173;182
CAMPO LIMPO PAULISTA;2007;5;934;229;168
CAMPO LIMPO PAULISTA;2008;8;848;252;121
CAMPO LIMPO PAULISTA;2009;7;789;301;254
CAMPO LIMPO PAULISTA;2010;8;679;260;216
CAMPO LIMPO PAULISTA;2011;10;615;230;233
CAMPO LIMPO PAULISTA;2012;13;593;256;200
CAMPO LIMPO PAULISTA;2013;14;480;216;156
CAMPO LIMPO PAULISTA;2014;6;522;368;293
CAMPO LIMPO PAULISTA;2015;9;581;346;441
CAMPO LIMPO PAULISTA;2016;3;645;391;340
CAMPO LIMPO PAULISTA;2017;5;599;337;298
CAMPO LIMPO PAULISTA;2018;5;775;370;337
CAMPO LIMPO PAULISTA;2019;3;563;270;259
CAMPOS DO JORDAO;2001;13;527;161;162
CAMPOS DO JORDAO;2002;18;505;138;146
CAMPOS DO JORDAO;2003;12;715;177;171
CAMPOS DO JORDAO;2004;20;825;139;137
CAMPOS DO JORDAO;2005;5;748;196;175
CAMPOS DO JORDAO;2006;12;826;173;182
CAMPOS DO JORDAO;2007;5;934;229;168
CAMPOS DO JORDAO;2008;8;848;252;121
CAMPOS DO JORDAO;2009;7;789;301;254
CAMPOS DO JORDAO;2010;8;679;260;216
CAMPOS DO JORDAO;2011;10;615;230;233
CAMPOS DO JORDAO;2012;13;593;256;200
CAMPOS DO JORDAO;2013;14;480;216;156
CAMPOS DO JORDAO;2014;6;522;368;293
CAMPOS DO JORDAO;2015;9;581;346;441
CAMPOS DO JORDAO;2016;3;645;391;340
CAMPOS DO JORDAO;2017;5;599;337;298
CAMPOS DO JORDAO;2018;5;775;370;337
CAMPOS DO JORDAO;2019;3;563;270;259
CAMPOS NOVOS PAULISTA;2001;1;8;0;1
CAMPOS NOVOS PAULISTA;2002;0;5;0;1
CAMPOS NOVOS PAULISTA;2003;0;8;0;0
CAMPOS NOVOS PAULISTA;2004;0;24;2;2
CAMPOS NOVOS PAULISTA;2005;0;20;0;0
CAMPOS NOVOS PAULISTA;2006;1;16;0;1
CAMPOS NOVOS PAULISTA;2007;1;15;3;3
CAMPOS NOVOS PAULISTA;2008;0;24;1;1
CAMPOS NOVOS PAULISTA;2009;0;16;0;2
CAMPOS NOVOS PAULISTA;2010;0;34;2;1
CAMPOS NOVOS PAULISTA;2011;0;61;1;1
CAMPOS NOVOS PAULISTA;2012;1;34;3;1
CAMPOS NOVOS PAULISTA;2013;0;36;4;0
CAMPOS NOVOS PAULISTA;2014;1;34;4;0
CAMPOS NOVOS PAULISTA;2015;0;48;3;0
CAMPOS NOVOS PAULISTA;2016;0;30;3;0
CAMPOS NOVOS PAULISTA;2017;1;48;3;5
CAMPOS NOVOS PAULISTA;2018;0;21;1;1
CAMPOS NOVOS PAULISTA;2019;0;41;1;2
CANANEIA;2001;1;186;2;3
CANANEIA;2002;3;134;3;3
CANANEIA;2003;0;279;5;1
CANANEIA;2004;3;224;6;2
CANANEIA;2005;2;253;12;2
CANANEIA;2006;0;263;14;1
CANANEIA;2007;4;236;10;3
CANANEIA;2008;1;259;7;1
CANANEIA;2009;1;280;11;3
CANANEIA;2010;1;167;5;2
CANANEIA;2011;1;179;17;3
CANANEIA;2012;1;195;18;0
CANANEIA;2013;1;135;19;1
CANANEIA;2014;1;159;9;1
CANANEIA;2015;1;152;5;1
CANANEIA;2016;0;226;13;2
CANANEIA;2017;0;220;7;4
CANANEIA;2018;1;140;7;4
CANANEIA;2019;2;127;5;1
CANAS;2001;0;0;0;0
CANAS;2002;0;0;0;0
CANAS;2003;0;17;2;2
CANAS;2004;1;57;9;5
CANAS;2005;1;40;6;10
CANAS;2006;0;35;12;1
CANAS;2007;0;40;14;8
CANAS;2008;2;65;27;2
CANAS;2009;0;64;17;5
CANAS;2010;0;71;12;5
CANAS;2011;1;77;14;6
CANAS;2012;1;63;3;5
CANAS;2013;2;53;19;2
CANAS;2014;1;52;19;1
CANAS;2015;0;38;9;4
CANAS;2016;0;36;23;9
CANAS;2017;2;32;11;6
CANAS;2018;2;53;14;3
CANAS;2019;2;43;11;1
CANDIDO MOTA;2001;2;325;16;7
CANDIDO MOTA;2002;2;342;4;13
CANDIDO MOTA;2003;1;328;6;13
CANDIDO MOTA;2004;3;249;10;11
CANDIDO MOTA;2005;5;618;12;12
CANDIDO MOTA;2006;3;352;9;9
CANDIDO MOTA;2007;1;195;17;26
CANDIDO MOTA;2008;0;240;17;15
CANDIDO MOTA;2009;2;113;13;12
CANDIDO MOTA;2010;2;219;20;17
CANDIDO MOTA;2011;0;219;19;8
CANDIDO MOTA;2012;3;270;29;31
CANDIDO MOTA;2013;3;247;65;37
CANDIDO MOTA;2014;1;190;46;41
CANDIDO MOTA;2015;0;275;25;33
CANDIDO MOTA;2016;1;264;15;42
CANDIDO MOTA;2017;1;241;15;38
CANDIDO MOTA;2018;0;238;17;19
CANDIDO MOTA;2019;2;375;31;20
CANDIDO RODRIGUES;2001;0;12;0;1
CANDIDO RODRIGUES;2002;0;10;0;0
CANDIDO RODRIGUES;2003;0;12;0;0
CANDIDO RODRIGUES;2004;0;16;3;2
CANDIDO RODRIGUES;2005;0;12;0;0
CANDIDO RODRIGUES;2006;0;8;0;2
CANDIDO RODRIGUES;2007;0;24;0;1
CANDIDO RODRIGUES;2008;0;14;0;2
CANDIDO RODRIGUES;2009;0;17;1;1
CANDIDO RODRIGUES;2010;1;24;0;3
CANDIDO RODRIGUES;2011;0;22;0;2
